Freq (Hz),Gain (dB),Phase (deg)
100.024,-23.625,-91.666
112.131,-22.591,-91.881
125.915,-21.530,-92.116
141.189,-20.468,-92.382
158.511,-19.375,-92.685
177.883,-18.261,-93.055
199.489,-17.123,-93.479
223.890,-15.936,-93.989
251.271,-14.695,-94.597
281.818,-13.391,-95.339
316.277,-11.984,-96.279
354.834,-10.451,-97.494
398.047,-8.734,-99.141
446.662,-6.741,-101.533
501.238,-4.330,-105.308
562.333,-1.245,-112.147
630.878,2.938,-127.707
707.991,7.068,-171.549
794.418,4.215,135.359
891.276,-0.274,115.126
1000.054,-3.605,106.860
1122.057,-6.156,102.534
1258.962,-8.236,99.872
1412.630,-10.015,98.069
1584.925,-11.589,96.763
1778.267,-13.021,95.766
1995.265,-14.349,94.983
2238.713,-15.601,94.347
2511.963,-16.795,93.823
2818.368,-17.945,93.384
3162.213,-19.061,93.009
3548.153,-20.151,92.685
3981.031,-21.221,92.403
4466.809,-22.274,92.162
5011.819,-23.315,91.943
5623.326,-24.345,91.749
6309.524,-25.368,91.578
7079.542,-26.384,91.424
7943.250,-27.395,91.157
8912.571,-28.400,91.012
9999.983,-29.401,90.875
